"Permanent & long-term migration by age, sex and NZ area (Annual-Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Arrivals","","","","","","","","","","","","","","","","","","","","","","","",""
" "," ","5-9 years",2,2,4,4,0,7,2,1,0,3,1,1,5,1,8,3,8,3,5,1,4,2,3,1,0
" "," ","10-14 years",1,2,2,0,3,1,1,2,1,0,1,1,3,1,6,6,2,3,6,0,4,0,3,0,3
" "," ","15-19 years",4,1,2,4,1,2,1,2,3,1,3,3,1,3,3,2,0,0,1,2,2,1,2,1,2
" "," ","20-24 years",4,5,9,6,2,6,2,2,2,1,4,9,4,4,5,2,4,8,3,7,4,4,1,11,6
" "," ","25-29 years",6,4,6,5,7,3,3,3,7,8,6,8,10,8,1,8,9,13,10,4,6,7,7,10,3
" "," ","30-34 years",4,10,6,8,4,10,5,2,3,3,7,7,2,6,7,7,4,8,8,5,7,5,7,6,1
" "," ","35-39 years",1,3,3,2,2,4,3,3,1,4,3,2,4,3,6,7,4,9,4,6,5,6,3,3,2
" "," ","40-44 years",4,2,3,6,2,1,4,3,2,3,8,0,4,6,4,3,3,4,4,3,1,4,5,4,2
" "," ","45-49 years",2,0,1,2,1,0,3,1,0,0,2,2,4,3,4,4,4,4,1,5,2,1,1,1,1
" "," ","50-54 years",1,0,0,0,0,2,0,0,0,1,2,5,1,0,0,2,0,0,3,1,3,0,1,1,0
" "," ","55-59 years",1,0,0,0,0,1,0,0,0,1,0,0,2,1,1,2,2,1,4,3,2,0,2,0,2
" "," ","60-64 years",0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,2,0,1,0,1,1,4
" "," ","65-69 years",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,2,4
" "," ","70-74 years",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0
" "," ","75 years and over",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
" ","Grey District","0-4 years",5,5,3,1,3,2,1,2,6,1,6,1,2,1,3,6,4,8,10,2,0,2,2,1,5
" "," ","5-9 years",3,2,5,3,1,5,3,1,7,1,0,2,1,2,6,3,3,9,12,3,2,4,3,1,1
" "," ","10-14 years",1,3,0,2,1,2,1,1,3,2,0,3,2,3,6,0,3,11,10,4,2,3,3,1,2
" "," ","15-19 years",0,1,2,5,7,4,2,3,3,4,1,3,0,2,4,3,3,7,7,4,7,3,4,1,2
" "," ","20-24 years",4,6,5,2,9,3,5,3,3,6,5,3,3,4,2,11,5,6,5,6,4,7,5,12,6
" "," ","25-29 years",12,11,11,3,9,7,10,5,9,6,10,11,8,10,9,7,10,8,11,9,4,9,11,5,9
" "," ","30-34 years",6,4,8,10,3,6,4,5,4,4,8,4,8,6,6,13,5,5,9,6,4,7,7,11,2
" "," ","35-39 years",3,2,4,6,3,2,3,5,2,3,3,4,3,2,7,7,5,12,8,8,1,1,3,8,7
" "," ","40-44 years",3,3,3,3,3,1,3,2,8,0,0,3,4,5,5,2,5,10,9,7,4,3,5,2,2
" "," ","45-49 years",1,1,1,1,4,0,3,0,2,1,1,1,4,2,5,1,1,9,6,7,4,2,3,1,4
" "," ","50-54 years",0,0,0,1,0,1,3,0,1,1,3,3,1,2,2,2,3,4,2,3,2,3,6,1,3
" "," ","55-59 years",0,1,0,1,1,2,0,0,3,1,0,1,1,1,2,0,3,0,4,3,0,0,4,5,6
" "," ","60-64 years",0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,2,2,4,0,1,1
" "," ","65-69 years",1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,3,2,0,3
" "," ","70-74 years",1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
" "," ","75 years and over",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
" ","Westland District","0-4 years",2,0,1,4,2,0,4,1,1,1,1,4,3,2,1,7,0,5,3,2,4,1,2,1,1
" "," ","5-9 years",1,0,0,2,0,3,1,1,1,2,4,1,4,0,2,4,4,2,1,0,0,1,1,0,1
" "," ","10-14 years",2,0,1,1,2,0,2,1,0,1,4,1,2,1,3,1,0,1,0,2,2,1,0,4,1
" "," ","15-19 years",4,0,2,3,0,1,1,1,2,3,3,2,7,6,3,3,3,0,3,3,4,3,5,3,1
" "," ","20-24 years",1,4,3,2,6,2,1,3,2,5,9,3,2,5,8,6,4,8,5,5,5,11,10,9,19
" "," ","25-29 years",11,4,6,7,5,4,5,5,4,6,7,3,7,8,11,11,8,7,9,2,8,10,10,18,16
" "," ","30-34 years",5,6,5,10,5,4,4,2,2,7,3,5,8,4,7,7,4,9,3,7,4,6,10,9,10
" "," ","35-39 years",3,1,7,4,4,3,1,0,2,3,5,3,6,3,2,7,6,2,4,1,5,5,5,7,5
" "," ","40-44 years",1,0,0,4,1,0,3,1,2,1,4,0,2,1,0,2,0,3,0,1,1,4,2,1,2
" "," ","45-49 years",0,0,0,5,2,1,3,0,0,1,0,2,1,0,1,2,3,1,1,0,0,1,1,0,2
" "," ","50-54 years",0,0,1,3,0,0,0,0,0,1,0,2,1,1,1,1,0,4,1,2,1,2,2,2,2
" "," ","55-59 years",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,2,2,1,1,0,4,1,1
" "," ","60-64 years",0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,2,1,0,0
" "," ","65-69 years",0,0,0,1,0,0,1,1,2,0,0,1,0,0,0,0,0,0,1,2,0,0,2,2,0
" "," ","70-74 years",0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1
" "," ","75 years and over",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0
" ","Hurunui District","0-4 years",1,1,0,0,2,4,4,4,2,3,1,2,3,3,7,8,4,5,10,1,3,15,4,7,5
" "," ","5-9 years",2,2,1,2,4,6,3,4,1,3,5,2,5,6,2,3,4,9,5,1,2,3,2,5,9
" "," ","10-14 years",3,0,1,1,1,4,3,1,2,1,1,4,3,3,2,3,2,2,1,0,0,6,1,2,3
" "," ","15-19 years",4,3,1,2,0,4,0,1,1,1,3,2,1,3,5,2,4,1,6,3,1,1,3,4,6
" "," ","20-24 years",6,6,3,8,3,6,6,5,7,4,5,7,4,9,5,5,11,12,10,10,14,11,19,14,10
" "," ","25-29 years",14,8,10,7,10,10,7,12,8,8,16,12,13,11,8,16,9,20,15,10,21,19,18,17,21
" "," ","30-34 years",2,3,5,2,6,5,2,5,3,5,4,7,7,7,6,11,3,8,6,14,6,15,10,7,11
" "," ","35-39 years",2,1,0,3,2,7,4,2,2,2,7,4,5,7,5,10,7,10,10,3,5,7,6,11,5
" "," ","40-44 years",2,0,0,2,2,2,0,2,2,0,3,2,2,6,5,3,3,4,5,4,5,2,5,5,7
" "," ","45-49 years",0,0,1,1,0,3,1,0,1,1,1,2,0,0,3,4,3,1,3,1,3,1,3,0,4
" "," ","50-54 years",1,0,0,2,0,0,1,0,4,2,0,4,1,2,1,2,2,1,0,1,2,6,6,1,1
" "," ","55-59 years",1,0,1,0,0,1,0,0,1,0,1,1,4,1,0,3,1,1,1,2,4,1,3,0,1
" "," ","60-64 years",1,0,0,0,1,0,1,0,0,2,1,0,1,1,3,1,1,0,2,3,1,3,0,0,2
" "," ","65-69 years",2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,0,1,1
" "," ","70-74 years",0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0
" "," ","75 years and over",0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,2,1,1,0,2,0,0
" ","Waimakariri District","0-4 years",6,6,15,9,8,13,6,10,6,7,13,15,17,19,11,20,19,19,12,18,22,12,23,22,29
" "," ","5-9 years",7,4,8,5,6,8,9,7,8,5,5,12,11,27,13,23,15,12,9,18,8,7,19,10,31
" "," ","10-14 years",5,7,5,3,5,6,6,6,2,3,11,6,15,16,15,13,19,8,21,16,24,15,14,7,18
" "," ","15-19 years",2,10,3,5,6,7,16,8,10,10,10,15,22,15,10,18,14,19,31,14,22,9,13,12,14
" "," ","20-24 years",19,18,11,26,13,18,19,15,38,19,14,25,21,36,29,24,22,16,21,19,23,17,22,25,30
" "," ","25-29 years",34,16,23,31,20,33,31,30,34,38,46,38,41,42,30,41,38,39,39,29,30,27,47,47,37
" "," ","30-34 years",19,15,21,11,17,16,18,13,20,27,16,27,31,25,25,32,27,26,20,30,27,17,39,29,41
" "," ","35-39 years",7,6,8,10,5,8,10,12,16,9,17,15,27,29,28,22,21,27,18,18,18,17,21,21,37
" "," ","40-44 years",5,6,2,3,5,8,3,5,9,7,12,14,14,20,14,15,22,18,17,17,18,13,19,19,24
" "," ","45-49 years",5,4,2,5,2,7,5,5,4,3,13,7,7,12,13,17,13,10,8,10,14,13,10,13,14
" "," ","50-54 years",4,4,1,3,3,4,3,1,2,4,5,13,9,3,9,6,9,8,3,7,12,10,10,8,10
" "," ","55-59 years",1,2,3,0,1,1,3,1,0,3,6,8,5,4,10,9,7,13,3,5,8,8,5,7,11
" "," ","60-64 years",3,2,3,0,0,1,1,2,2,3,1,1,5,3,3,6,10,6,8,6,9,7,6,9,8
" "," ","65-69 years",1,2,2,0,2,1,1,0,3,3,2,1,6,7,0,3,7,0,6,2,4,3,4,5,4
" "," ","70-74 years",2,1,1,1,0,1,0,1,1,0,2,0,1,0,1,4,3,2,5,1,1,5,4,3,1
" "," ","75 years and over",1,1,1,2,2,1,1,2,0,0,3,0,2,2,0,2,0,2,4,0,5,1,4,0,0
" ","Christchurch City","0-4 years",154,144,183,215,210,175,177,137,105,148,173,191,266,222,224,244,234,241,196,208,137,189,244,247,234
" "," ","5-9 years",114,123,147,176,226,190,145,131,132,123,147,196,214,218,215,203,208,198,193,179,94,123,211,197,242
" "," ","10-14 years",108,118,170,205,222,216,179,119,116,124,168,213,220,198,196,224,227,225,201,178,121,113,145,173,164
" "," ","15-19 years",178,192,262,307,359,318,276,171,233,285,491,578,477,313,296,313,322,383,398,411,255,204,305,432,451
" "," ","20-24 years",362,351,283,322,402,407,363,299,289,302,490,590,673,522,480,443,481,559,622,576,513,542,729,908,1027
" "," ","25-29 years",498,506,431,493,476,555,485,462,526,498,597,595,657,615,625,603,575,716,680,603,595,790,1002,1092,1139
" "," ","30-34 years",291,325,285,385,358,325,322,260,265,298,338,395,476,427,444,435,430,441,421,410,391,515,559,675,726
" "," ","35-39 years",171,196,222,233,281,240,218,190,170,190,215,287,349,293,349,323,288,310,253,254,197,327,462,453,487
" "," ","40-44 years",162,187,152,187,242,202,169,144,111,158,203,229,232,229,249,252,224,238,190,170,152,210,359,398,334
" "," ","45-49 years",88,104,134,147,185,183,140,128,89,82,112,153,131,138,137,149,150,177,139,134,116,137,219,281,218
" "," ","50-54 years",41,112,67,75,77,80,83,68,55,70,75,92,113,92,103,88,103,107,90,103,73,111,125,133,156
" "," ","55-59 years",42,41,29,32,44,43,44,59,43,44,60,76,67,68,80,74,77,87,89,86,72,75,107,96,105
" "," ","60-64 years",32,23,28,23,20,28,28,29,36,30,32,36,47,42,47,61,59,58,59,64,71,72,84,89,76
" "," ","65-69 years",19,12,12,18,24,14,25,21,22,25,22,30,19,20,22,23,40,31,36,44,30,28,46,34,61
" "," ","70-74 years",6,5,2,7,9,8,5,11,16,14,14,17,13,7,13,24,14,16,20,20,10,17,23,15,22
" "," ","75 years and over",10,6,8,8,14,16,14,8,9,8,11,17,21,20,15,21,24,13,27,23,14,20,18,17,14
" ","Selwyn District","0-4 years",3,8,8,3,10,11,11,6,6,6,3,12,12,11,7,16,15,11,19,20,14,19,18,16,38
" "," ","5-9 years",2,6,4,9,11,4,6,4,4,9,9,9,11,7,7,8,17,14,11,12,9,15,14,14,26
" "," ","10-14 years",4,1,3,7,4,8,9,3,2,3,9,7,9,4,10,12,15,15,11,20,7,10,6,12,17
" "," ","15-19 years",9,11,12,14,7,10,20,6,6,18,26,28,17,9,14,17,19,23,25,33,23,27,16,24,32
" "," ","20-24 years",39,55,59,64,54,35,51,15,34,11,39,37,38,24,21,26,46,36,48,36,41,29,44,43,48
" "," ","25-29 years",15,22,25,14,24,27,18,20,30,13,23,37,50,28,37,31,39,50,35,40,30,39,43,53,46
" "," ","30-34 years",13,12,18,26,19,24,17,12,14,18,13,30,32,24,20,21,36,24,26,30,19,26,32,41,45
" "," ","35-39 years",10,7,8,10,16,16,9,6,6,9,10,16,16,13,14,22,20,28,24,11,12,17,20,27,41
" "," ","40-44 years",5,3,6,6,3,9,5,3,7,15,8,6,9,9,9,18,13,15,14,19,8,10,15,19,24
" "," ","45-49 years",1,1,5,6,7,4,8,1,5,4,5,5,4,7,7,8,14,11,8,5,5,7,7,6,13
" "," ","50-54 years",2,0,2,5,1,2,2,0,4,2,4,3,2,4,3,4,6,7,9,6,5,4,2,8,11
" "," ","55-59 years",0,1,0,4,1,1,1,1,2,2,1,3,2,2,3,2,6,3,7,6,6,6,6,4,11
" "," ","60-64 years",1,0,1,0,0,0,2,1,1,1,2,1,1,3,1,1,2,5,5,6,2,1,5,5,10
" "," ","65-69 years",1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,4,2,1,1,5,3,2,7,5
" "," ","70-74 years",0,0,0,1,0,1,0,0,0,1,0,0,2,0,1,0,2,0,0,1,1,1,0,3,4
" "," ","75 years and over",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,2,1,1,0,1,3,1,3
" ","Ashburton District","0-4 years",6,6,2,9,4,16,7,7,5,9,9,12,12,16,12,19,16,12,21,18,18,13,20,19,19
" "," ","5-9 years",8,5,4,5,11,5,3,3,4,3,11,14,17,12,10,10,9,15,13,14,15,9,14,21,14
" "," ","10-14 years",3,3,2,2,1,6,4,4,3,1,6,9,13,8,15,11,15,13,12,13,3,9,18,9,11
" "," ","15-19 years",5,5,6,8,4,12,10,7,7,12,10,14,8,10,18,16,15,11,12,20,15,14,25,10,23
" "," ","20-24 years",23,13,13,24,18,18,18,26,19,19,24,34,27,22,23,23,37,37,31,30,43,42,56,55,45
" "," ","25-29 years",28,32,20,17,24,28,34,31,32,33,40,40,44,39,38,41,62,68,33,27,33,54,49,55,47
" "," ","30-34 years",13,18,10,15,4,17,11,12,12,21,21,19,40,28,32,29,34,35,25,18,19,22,23,43,36
" "," ","35-39 years",6,5,9,5,14,11,8,7,6,9,10,21,19,18,16,22,25,27,18,8,19,25,19,28,30
" "," ","40-44 years",1,1,8,1,8,9,4,4,5,8,10,12,17,13,10,13,23,19,9,8,5,11,16,6,23
" "," ","45-49 years",0,2,2,1,6,2,3,1,4,2,6,4,6,7,5,4,7,12,6,3,12,11,10,6,8
" "," ","50-54 years",1,2,2,2,0,2,3,0,0,0,5,5,1,1,6,8,2,7,6,6,4,4,12,4,3
" "," ","55-59 years",3,0,1,0,2,1,1,0,1,1,0,0,4,5,4,3,2,3,3,2,2,1,3,6,4
" "," ","60-64 years",0,1,0,2,0,0,0,1,0,3,1,1,0,3,3,2,5,3,1,2,4,7,2,1,5
" "," ","65-69 years",1,1,0,0,1,0,0,1,0,0,2,4,1,1,2,3,2,1,0,1,0,3,1,2,2
" "," ","70-74 years",0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,3,1,0,1,1,1,1,0,0,2
" "," ","75 years and over",0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,1,3,2,1,1,2,0,0,0,0
" ","Timaru District","0-4 years",22,24,17,11,14,18,11,12,11,6,16,11,16,33,21,18,12,12,19,9,8,16,19,18,21
" "," ","5-9 years",8,11,10,10,9,9,7,7,5,13,14,14,23,11,15,21,18,13,10,4,4,10,9,14,16
" "," ","10-14 years",4,6,14,14,11,6,10,4,8,5,14,11,16,29,20,16,14,17,13,9,6,17,7,5,13
" "," ","15-19 years",28,19,12,25,36,23,21,17,20,23,34,27,36,28,30,24,27,27,31,23,20,21,9,22,27
" "," ","20-24 years",67,42,19,41,32,29,13,21,24,25,39,50,34,33,27,15,26,22,23,18,26,25,24,33,24
" "," ","25-29 years",82,77,64,35,41,44,51,38,43,49,62,59,48,70,60,49,36,50,44,29,29,29,42,44,48
" "," ","30-34 years",50,54,34,27,26,23,23,24,17,14,36,27,45,39,34,36,23,36,27,33,23,30,39,38,33
" "," ","35-39 years",21,32,13,10,10,14,15,12,18,16,29,28,23,35,26,20,31,12,25,16,12,17,19,37,23
" "," ","40-44 years",15,19,12,11,21,8,10,6,7,11,16,21,17,17,21,26,27,15,13,15,12,16,20,25,25
" "," ","45-49 years",9,8,4,2,4,11,3,6,1,6,7,4,5,15,10,13,7,10,9,6,2,10,8,14,10
" "," ","50-54 years",2,7,5,4,3,6,1,6,0,5,8,6,7,7,4,7,11,6,15,8,5,15,7,12,10
" "," ","55-59 years",8,6,2,2,7,2,1,0,1,3,3,5,4,9,4,3,12,2,4,6,1,4,6,8,15
" "," ","60-64 years",3,0,3,1,0,3,1,4,1,0,5,4,1,7,5,3,2,4,4,4,7,7,5,11,5
" "," ","65-69 years",0,2,1,2,0,0,0,1,1,1,1,3,3,1,1,5,5,1,1,4,2,3,3,7,5
" "," ","70-74 years",0,0,0,0,0,1,1,0,0,2,2,3,1,2,1,1,0,1,2,1,0,0,2,2,1
" "," ","75 years and over",0,1,1,1,1,0,1,0,2,2,2,0,1,3,1,1,2,3,4,5,1,1,1,1,1
" ","Mackenzie District","0-4 years",1,3,1,3,1,1,0,2,0,1,1,2,3,0,2,0,1,3,3,2,3,4,1,0,1
" "," ","5-9 years",1,0,3,1,2,1,2,1,0,1,1,1,2,1,4,2,0,1,0,2,2,2,1,1,3
" "," ","10-14 years",1,1,2,5,1,4,0,3,0,0,2,0,2,0,2,0,0,3,1,3,0,0,0,2,2
" "," ","15-19 years",0,3,0,4,1,3,1,3,3,1,3,3,1,3,1,1,1,1,2,2,1,2,0,3,5
" "," ","20-24 years",11,10,4,7,8,4,3,5,8,0,5,5,6,6,6,10,4,5,5,3,3,3,7,12,6
" "," ","25-29 years",7,6,7,4,8,14,6,6,7,8,4,7,7,8,10,9,12,9,10,4,6,8,8,8,4
" "," ","30-34 years",2,4,3,5,5,4,6,4,2,3,2,3,1,2,5,6,10,7,7,3,2,5,1,5,4
" "," ","35-39 years",0,1,2,1,3,2,2,4,1,1,2,4,4,3,5,1,2,4,0,3,1,6,1,3,6
" "," ","40-44 years",1,1,2,4,4,2,0,4,0,2,1,3,1,1,0,1,0,1,4,2,1,1,1,1,2
" "," ","45-49 years",1,2,1,4,0,2,2,0,2,1,0,0,1,0,1,1,1,2,0,0,2,2,0,1,3
" "," ","50-54 years",1,1,0,0,1,0,2,1,1,0,0,1,1,0,2,0,0,0,1,0,0,0,0,3,2
" "," ","55-59 years",0,0,0,0,0,0,0,1,0,1,0,1,2,0,1,0,0,1,2,1,0,0,0,1,2
" "," ","60-64 years",1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
" "," ","65-69 years",0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0
" "," ","70-74 years",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
" "," ","75 years and over",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
" ","Waimate District","0-4 years",1,1,2,2,6,3,1,1,1,5,4,0,3,2,1,0,1,2,1,5,0,2,4,1,4
" "," ","5-9 years",3,0,1,0,4,1,3,1,2,1,1,1,4,2,1,0,2,0,1,1,3,0,4,3,4
" "," ","10-14 years",0,2,1,0,1,0,0,0,0,0,0,0,3,3,1,1,0,1,0,1,1,2,1,2,4
" "," ","15-19 years",2,0,1,0,1,3,1,0,3,4,2,0,2,3,4,1,2,0,2,2,2,2,4,1,3
" "," ","20-24 years",6,2,3,6,1,1,3,2,3,5,4,8,7,2,5,4,1,4,3,1,1,1,6,8,4
" "," ","25-29 years",15,3,5,6,3,7,7,5,7,14,7,10,12,8,6,9,3,13,3,3,4,5,9,12,16
" "," ","30-34 years",2,6,3,1,5,4,0,3,3,3,3,3,7,9,7,7,3,5,2,4,2,5,10,12,5
" "," ","35-39 years",1,0,1,1,3,1,2,0,0,1,4,0,5,8,3,5,3,8,4,1,0,3,3,13,7
" "," ","40-44 years",3,0,1,0,1,4,2,0,0,0,2,2,4,0,2,1,1,3,4,3,3,2,2,5,1
" "," ","45-49 years",0,0,2,0,0,1,0,0,0,1,0,0,0,2,1,1,3,0,1,2,1,2,3,1,1
" "," ","50-54 years",0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,2,2,1,1,0,1,0,2,2
" "," ","55-59 years",0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,1,0,1,1,6,2,1
" "," ","60-64 years",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,2,1,0,0,1,2,0
" "," ","65-69 years",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0
" "," ","70-74 years",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
" "," ","75 years and over",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0
" ","Chatham Islands Territory","0-4 years",0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
" "," ","5-9 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
" "," ","10-14 years",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
" "," ","15-19 years",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
" "," ","20-24 years",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
" "," ","25-29 years",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0
" "," ","30-34 years",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
" "," ","35-39 years",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
" "," ","40-44 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
" "," ","45-49 years",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
" "," ","50-54 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
" "," ","55-59 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," ","60-64 years",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
" "," ","65-69 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," ","70-74 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," ","75 years and over",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Waitaki District","0-4 years",9,8,4,11,10,7,9,2,5,9,6,8,8,2,13,7,9,9,7,4,5,6,12,12,6
" "," ","5-9 years",3,5,3,1,6,2,5,3,3,2,5,9,6,5,9,11,6,4,11,5,4,10,6,10,1
" "," ","10-14 years",5,3,8,8,9,11,4,2,2,5,2,9,3,9,7,15,6,9,7,2,4,4,7,4,5
" "," ","15-19 years",5,6,5,20,18,16,14,11,17,19,17,20,19,7,8,11,13,10,13,11,12,6,6,16,19
" "," ","20-24 years",12,20,8,13,7,14,11,10,7,15,10,7,9,12,19,8,13,19,19,8,10,16,17,17,15
" "," ","25-29 years",25,23,18,22,18,15,24,18,17,32,24,30,28,29,12,19,23,31,23,16,19,20,14,25,24
" "," ","30-34 years",9,11,10,18,19,13,10,8,7,12,9,6,13,11,13,20,21,26,8,11,14,20,16,31,19
" "," ","35-39 years",5,5,3,12,13,7,6,5,7,8,5,8,9,15,9,10,17,15,13,4,7,13,7,17,11
" "," ","40-44 years",2,1,3,6,4,6,4,4,2,4,2,6,4,5,12,9,7,7,4,6,4,6,8,8,6
" "," ","45-49 years",1,4,2,2,7,2,5,2,3,3,5,9,1,7,6,6,1,7,3,3,2,4,2,3,8
" "," ","50-54 years",2,0,1,0,4,2,1,0,0,0,1,5,3,1,4,5,5,1,4,2,1,2,2,3,5
" "," ","55-59 years",1,0,0,0,2,3,0,3,1,4,3,3,3,1,3,4,3,1,6,4,1,3,0,2,5
" "," ","60-64 years",0,0,0,0,0,2,2,1,2,0,0,1,1,2,0,4,3,2,0,4,4,2,2,7,1
" "," ","65-69 years",0,0,0,0,1,1,0,0,0,0,1,0,0,2,2,0,1,2,3,1,1,5,2,1,0
" "," ","70-74 years",1,1,0,1,0,0,0,2,1,2,0,0,1,0,2,0,1,0,0,0,0,0,1,0,2
" "," ","75 years and over",1,1,0,0,1,2,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0
" ","Central Otago District","0-4 years",6,2,0,3,3,6,3,3,0,7,3,11,6,15,9,5,8,9,10,10,4,13,11,12,17
" "," ","5-9 years",5,2,4,3,5,6,1,3,2,3,2,1,4,3,4,6,2,3,5,1,2,1,4,9,7
" "," ","10-14 years",4,2,1,2,3,3,4,2,0,5,1,0,6,3,3,3,4,4,9,3,2,6,3,6,5
" "," ","15-19 years",7,5,2,4,37,2,2,3,1,2,4,3,3,2,5,10,6,7,4,15,8,10,7,6,7
" "," ","20-24 years",23,13,10,8,7,10,3,8,8,10,12,10,10,12,11,12,14,12,11,7,16,13,13,15,21
" "," ","25-29 years",29,12,15,26,11,14,11,12,14,22,20,28,19,17,20,23,12,23,20,28,18,22,26,31,26
" "," ","30-34 years",9,4,10,13,9,8,2,10,7,5,14,16,23,16,21,16,12,11,13,13,16,15,21,22,14
" "," ","35-39 years",5,3,0,8,10,7,2,5,2,6,4,7,11,7,9,10,7,11,9,10,5,8,11,8,9
" "," ","40-44 years",4,4,2,4,2,3,2,3,5,2,4,4,7,7,8,6,5,10,2,4,6,7,5,10,7
" "," ","45-49 years",7,0,2,1,3,4,4,3,1,0,4,3,5,3,2,6,2,4,5,7,1,6,5,3,4
" "," ","50-54 years",3,1,0,1,1,2,1,4,1,2,2,1,3,2,7,2,2,4,7,2,2,3,3,0,5
" "," ","55-59 years",1,0,2,0,0,1,3,0,2,0,1,0,0,2,1,1,2,2,2,4,1,2,0,4,4
" "," ","60-64 years",0,0,1,0,0,0,1,0,0,1,2,1,0,1,2,0,4,4,2,1,5,3,5,2,6
" "," ","65-69 years",0,0,2,1,0,0,1,0,0,1,1,0,2,0,2,0,0,0,0,0,4,1,3,3,1
" "," ","70-74 years",0,0,0,0,0,1,0,1,2,1,0,0,2,0,0,2,0,0,1,0,0,4,1,1,0
" "," ","75 years and over",0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0
" ","Queenstown-Lakes District","0-4 years",5,11,3,5,14,5,4,4,8,10,5,6,11,8,17,21,15,17,10,15,14,20,15,29,24
" "," ","5-9 years",4,0,5,6,6,4,3,5,4,7,13,7,14,8,11,13,17,16,13,14,11,14,15,17,37
" "," ","10-14 years",1,5,2,5,4,7,8,2,6,0,4,4,3,13,16,12,18,15,8,12,7,11,13,9,29
