"Permanent & long-term migration by age, sex and NZ area (Annual-Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Departures","","","","","","","","","","","","","","","","","","","","","","","",""
" "," ","60-64 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1
" "," ","65-69 years",0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
" "," ","70-74 years",0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
" "," ","75 years and over",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
" ","Hurunui District","0-4 years",3,3,3,2,2,7,2,8,3,5,2,1,0,0,6,11,5,6,0,2,3,1,5,2,2
" "," ","5-9 years",2,0,1,0,1,3,1,4,2,4,2,0,3,1,2,5,5,0,0,0,4,1,2,2,2
" "," ","10-14 years",3,0,0,2,4,1,2,0,2,2,0,0,4,2,3,4,4,3,3,2,2,3,1,4,0
" "," ","15-19 years",0,1,2,3,8,5,2,5,7,5,5,2,7,5,6,5,6,3,6,2,6,2,7,3,1
" "," ","20-24 years",13,10,13,19,18,15,14,16,13,14,12,15,7,14,14,12,19,15,5,11,17,16,7,18,20
" "," ","25-29 years",6,9,10,8,7,19,8,7,16,10,10,9,7,9,12,8,16,16,6,15,24,13,11,13,24
" "," ","30-34 years",3,2,4,2,4,3,4,3,4,1,2,4,4,6,9,4,10,5,6,10,3,10,5,4,4
" "," ","35-39 years",2,1,2,1,1,2,4,3,1,5,5,0,2,4,2,8,8,4,0,4,7,2,4,4,4
" "," ","40-44 years",4,1,2,1,2,2,2,4,1,4,1,1,3,2,5,6,5,2,7,4,4,1,7,3,1
" "," ","45-49 years",0,0,1,1,1,4,1,0,1,1,1,2,0,1,0,6,1,3,1,4,1,2,0,1,1
" "," ","50-54 years",0,1,1,2,2,0,1,2,3,3,0,2,1,0,0,4,3,1,5,2,4,4,1,0,0
" "," ","55-59 years",0,1,0,0,0,1,1,2,2,0,0,1,1,2,1,3,3,1,3,0,1,0,2,0,0
" "," ","60-64 years",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,3,1,0,2,0,0,0
" "," ","65-69 years",0,0,2,1,2,2,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
" "," ","70-74 years",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
" "," ","75 years and over",0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
" ","Waimakariri District","0-4 years",6,6,6,10,7,6,8,14,19,16,11,8,8,13,22,11,21,25,14,20,38,23,14,9,13
" "," ","5-9 years",3,6,6,8,10,3,6,8,11,16,11,4,5,12,17,9,16,11,17,14,26,31,13,4,13
" "," ","10-14 years",1,9,1,4,14,8,7,7,2,14,11,5,6,6,14,7,14,12,15,10,29,18,9,15,5
" "," ","15-19 years",9,19,11,11,17,14,18,18,17,19,11,9,12,18,18,15,19,13,21,21,26,23,15,14,21
" "," ","20-24 years",34,33,34,45,58,49,59,66,63,61,51,52,35,42,60,45,54,55,44,46,55,70,47,42,52
" "," ","25-29 years",23,24,25,30,34,35,38,44,55,51,59,23,38,40,47,41,42,52,36,42,49,41,27,28,41
" "," ","30-34 years",7,8,11,10,11,7,14,18,22,34,22,26,23,19,28,25,24,26,24,32,24,18,21,7,20
" "," ","35-39 years",5,11,8,7,3,6,9,9,16,17,8,9,10,13,29,19,27,23,19,23,25,28,11,8,7
" "," ","40-44 years",5,5,6,6,8,10,4,7,11,16,21,10,5,11,9,12,21,20,15,22,35,20,13,11,6
" "," ","45-49 years",1,9,3,2,4,1,9,5,5,22,7,6,5,8,15,18,13,16,19,18,23,23,5,8,6
" "," ","50-54 years",1,2,1,2,7,7,10,8,4,11,8,7,6,3,10,10,12,11,17,8,15,12,10,8,4
" "," ","55-59 years",0,1,3,2,2,3,4,6,5,3,3,2,6,5,8,14,8,6,7,4,16,11,15,6,4
" "," ","60-64 years",0,2,1,1,0,3,2,1,0,3,5,1,3,4,5,5,1,7,5,10,6,5,3,1,3
" "," ","65-69 years",1,0,1,2,1,3,4,2,5,0,2,1,3,2,1,1,1,1,2,2,5,4,4,4,9
" "," ","70-74 years",0,1,0,1,0,3,2,1,1,2,0,0,2,0,3,3,2,1,0,1,3,4,0,2,2
" "," ","75 years and over",0,0,0,0,1,1,1,0,1,0,1,1,1,0,2,1,1,0,0,3,3,2,2,1,0
" ","Christchurch City","0-4 years",118,112,118,98,104,132,168,141,153,156,136,105,106,136,139,145,171,222,130,194,289,177,112,108,81
" "," ","5-9 years",68,86,70,83,78,89,126,116,152,153,137,110,96,119,156,138,170,190,114,121,266,152,96,87,75
" "," ","10-14 years",44,71,60,47,74,72,90,84,111,130,126,98,133,177,178,143,169,174,167,123,192,138,80,77,57
" "," ","15-19 years",147,147,134,146,153,169,209,201,227,262,214,187,210,259,211,198,232,232,219,192,266,207,167,134,109
" "," ","20-24 years",523,453,478,529,604,628,588,641,732,703,608,515,568,613,707,599,623,670,519,563,660,581,432,436,420
" "," ","25-29 years",383,376,314,407,440,498,661,691,758,740,620,535,455,535,585,545,671,707,567,623,724,532,438,525,596
" "," ","30-34 years",187,185,182,209,227,236,306,313,326,380,335,266,219,284,288,274,362,345,263,271,407,330,225,264,266
" "," ","35-39 years",121,118,125,150,149,155,183,194,259,276,200,166,147,170,213,196,248,291,179,200,319,193,155,133,142
" "," ","40-44 years",70,101,76,84,97,106,117,138,157,169,153,124,103,134,169,152,165,183,136,165,257,153,114,109,107
" "," ","45-49 years",45,67,70,67,73,74,100,82,115,141,126,93,110,91,114,107,127,186,121,126,188,161,89,78,78
" "," ","50-54 years",33,33,39,45,56,51,73,68,79,111,114,67,76,74,99,105,100,106,84,107,150,122,93,71,65
" "," ","55-59 years",22,19,31,25,32,46,51,39,51,61,62,52,34,60,79,75,82,98,62,64,124,91,66,47,60
" "," ","60-64 years",7,15,13,22,23,21,25,20,33,17,27,20,33,29,48,37,42,58,29,48,58,58,31,45,21
" "," ","65-69 years",19,27,22,26,32,28,33,31,16,18,12,17,15,14,23,15,17,9,24,20,26,38,26,26,29
" "," ","70-74 years",15,9,6,12,11,19,21,10,5,12,7,5,13,12,12,9,7,11,9,6,24,11,13,9,13
" "," ","75 years and over",6,10,6,14,13,18,10,9,17,8,11,7,12,7,13,6,5,11,13,16,23,9,16,10,13
" ","Selwyn District","0-4 years",4,7,6,9,7,6,2,15,13,9,8,5,4,7,4,4,14,10,13,14,24,11,10,18,9
" "," ","5-9 years",0,7,5,4,7,8,9,7,8,13,6,9,2,12,2,8,7,8,15,6,14,15,10,10,15
" "," ","10-14 years",1,3,5,3,1,2,3,8,6,9,3,4,5,8,3,8,9,5,9,6,10,19,4,8,7
" "," ","15-19 years",3,4,8,1,2,7,17,5,9,12,7,5,10,9,10,5,13,15,20,18,23,17,21,17,7
" "," ","20-24 years",17,14,22,18,32,28,56,35,40,48,46,19,24,32,32,32,24,46,38,35,47,53,33,42,46
" "," ","25-29 years",10,20,6,18,9,29,27,24,24,35,35,23,27,28,24,25,28,25,33,40,45,43,31,46,42
" "," ","30-34 years",10,10,8,10,5,11,7,10,12,15,12,11,10,18,13,16,18,16,21,23,32,16,18,16,17
" "," ","35-39 years",3,4,7,8,6,11,12,7,14,14,14,11,7,13,9,8,17,12,14,11,22,20,13,11,15
" "," ","40-44 years",1,4,5,2,2,4,4,5,9,10,4,3,6,8,6,12,11,12,12,19,17,18,11,11,11
" "," ","45-49 years",2,1,1,2,2,2,1,5,5,6,4,2,0,7,8,5,5,13,7,11,15,15,10,18,16
" "," ","50-54 years",2,2,1,1,0,1,3,3,2,1,1,3,7,1,1,3,5,10,8,13,14,9,7,5,5
" "," ","55-59 years",0,0,0,0,1,0,2,2,2,2,1,5,1,0,3,7,5,7,7,4,2,7,7,4,3
" "," ","60-64 years",0,1,4,0,0,0,0,1,0,1,0,1,0,2,2,2,7,1,3,1,8,5,5,3,3
" "," ","65-69 years",0,1,1,1,0,0,1,0,0,1,0,0,1,0,2,0,2,1,3,0,3,5,3,3,3
" "," ","70-74 years",0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,1,3,1,1,2,0
" "," ","75 years and over",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,3,2,0,1,0
" ","Ashburton District","0-4 years",2,4,3,4,9,7,2,11,5,3,4,10,4,9,10,8,9,10,4,9,13,6,12,9,3
" "," ","5-9 years",3,5,8,5,8,14,6,11,11,12,7,1,4,5,6,2,11,6,3,9,9,12,13,4,3
" "," ","10-14 years",2,1,2,2,9,8,3,1,9,11,4,3,0,5,1,2,8,12,4,6,8,5,2,3,10
" "," ","15-19 years",7,3,8,11,8,8,5,10,14,14,5,10,9,8,9,5,19,21,11,11,12,6,12,8,10
" "," ","20-24 years",28,35,31,34,41,47,45,43,55,60,51,43,36,36,41,44,53,35,33,50,35,32,32,27,41
" "," ","25-29 years",13,19,16,24,16,30,28,39,34,39,47,24,26,21,36,30,42,33,22,36,43,38,25,32,42
" "," ","30-34 years",2,3,5,12,15,11,12,8,13,5,8,10,21,15,16,11,17,26,16,22,17,20,15,12,13
" "," ","35-39 years",2,2,6,5,8,8,14,9,7,16,10,8,5,8,13,17,15,16,25,12,15,8,7,8,6
" "," ","40-44 years",3,0,1,4,3,4,7,5,10,10,10,4,4,5,6,8,12,11,8,11,12,7,7,5,5
" "," ","45-49 years",2,2,2,4,3,2,4,2,5,4,5,2,4,0,7,4,12,15,10,7,10,9,15,6,4
" "," ","50-54 years",0,1,1,1,5,2,2,7,4,4,1,4,6,2,2,3,6,5,6,3,5,6,5,5,5
" "," ","55-59 years",0,1,1,1,0,2,5,1,2,2,0,1,4,2,2,3,2,2,4,5,5,3,1,1,3
" "," ","60-64 years",0,0,4,3,1,1,1,0,3,2,2,0,1,0,1,1,1,1,0,2,2,4,0,1,4
" "," ","65-69 years",0,0,0,0,0,1,1,0,0,0,2,1,0,0,1,1,1,1,0,3,1,2,0,1,0
" "," ","70-74 years",0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,3,1,3,0
" "," ","75 years and over",1,0,0,0,1,1,2,1,0,1,2,0,1,0,0,0,0,0,0,0,1,0,2,1,1
" ","Timaru District","0-4 years",9,12,14,8,3,11,9,5,9,11,10,10,9,4,12,8,4,12,4,15,23,13,10,10,8
" "," ","5-9 years",6,10,7,7,5,10,8,9,22,9,13,6,5,6,10,4,13,12,7,11,8,9,2,10,4
" "," ","10-14 years",10,4,7,12,4,15,5,5,9,17,10,6,6,12,12,11,9,10,8,11,6,5,11,6,3
" "," ","15-19 years",16,15,6,23,14,22,14,25,21,28,14,17,22,40,23,18,12,23,13,16,22,16,26,11,14
" "," ","20-24 years",70,53,63,51,65,67,64,81,91,79,63,57,59,62,61,62,70,76,53,58,61,51,40,47,36
" "," ","25-29 years",51,38,36,32,44,46,68,69,55,68,67,57,72,51,73,48,61,57,26,50,55,43,34,43,37
" "," ","30-34 years",38,15,23,10,15,21,19,22,33,21,27,18,17,24,31,20,29,31,13,23,21,17,14,12,13
" "," ","35-39 years",14,12,10,9,7,13,19,14,19,9,19,14,7,18,21,21,19,22,16,20,14,18,11,9,9
" "," ","40-44 years",14,11,7,5,2,11,10,6,11,13,11,3,10,16,13,12,8,17,10,13,8,8,7,7,12
" "," ","45-49 years",6,6,3,4,7,8,5,6,10,9,8,8,5,8,9,12,13,10,13,11,7,12,8,9,4
" "," ","50-54 years",8,3,2,9,1,2,5,11,7,8,6,5,8,7,10,9,9,10,8,6,15,8,10,7,5
" "," ","55-59 years",4,1,5,5,2,0,5,2,6,8,1,5,1,7,4,8,8,15,3,8,9,8,4,5,6
" "," ","60-64 years",0,3,2,1,4,3,5,1,3,2,2,3,4,4,3,2,4,7,1,4,3,2,2,2,2
" "," ","65-69 years",1,3,4,0,1,3,1,2,1,2,0,3,0,1,1,2,0,0,2,0,1,1,1,0,4
" "," ","70-74 years",2,1,2,3,2,0,2,2,1,1,1,1,0,0,0,1,1,2,1,0,2,1,1,2,1
" "," ","75 years and over",0,1,1,1,2,4,1,1,0,0,1,1,0,4,0,1,0,1,0,2,1,1,0,1,1
" ","Mackenzie District","0-4 years",1,0,0,4,3,2,2,5,2,0,3,2,0,0,0,5,0,4,2,2,4,0,1,0,2
" "," ","5-9 years",1,0,1,4,1,2,3,0,0,2,1,0,0,1,1,2,1,0,0,0,0,1,0,0,1
" "," ","10-14 years",0,1,0,1,0,2,0,2,1,1,1,0,0,0,3,1,0,2,0,1,2,1,2,0,0
" "," ","15-19 years",3,2,2,3,0,2,5,2,3,4,4,1,1,1,2,2,1,5,1,1,0,3,0,1,0
" "," ","20-24 years",4,10,8,11,9,9,8,9,19,12,11,5,10,10,4,14,5,11,6,5,6,6,5,8,2
" "," ","25-29 years",3,4,3,3,5,8,16,12,8,5,4,8,4,5,10,9,3,7,3,7,4,9,5,9,8
" "," ","30-34 years",2,2,3,2,4,4,4,3,9,2,3,1,2,3,3,4,1,4,3,5,3,4,2,1,1
" "," ","35-39 years",1,1,0,0,2,2,0,1,3,1,1,1,2,1,0,4,2,1,2,4,1,1,2,2,1
" "," ","40-44 years",1,1,2,1,0,4,4,0,3,3,0,0,1,0,0,1,3,0,1,1,3,0,3,1,0
" "," ","45-49 years",1,0,1,0,0,0,1,1,5,1,0,0,0,1,0,1,1,1,0,1,0,2,0,0,1
" "," ","50-54 years",1,0,0,0,1,1,0,2,0,2,3,0,0,0,0,0,1,1,1,0,0,1,0,0,0
" "," ","55-59 years",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
" "," ","60-64 years",0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1
" "," ","65-69 years",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
" "," ","70-74 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," ","75 years and over",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Waimate District","0-4 years",1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,2,3,1,2,0,0,2,2,0
" "," ","5-9 years",0,2,0,0,1,0,2,2,2,0,1,2,0,1,1,1,1,2,0,1,0,1,0,0,1
" "," ","10-14 years",0,0,0,0,0,0,2,0,1,1,0,0,1,0,1,1,2,1,0,0,0,1,0,0,0
" "," ","15-19 years",2,2,1,3,1,4,3,4,5,5,2,2,1,1,1,3,2,1,2,0,2,2,0,3,1
" "," ","20-24 years",5,8,7,10,5,11,10,14,12,16,9,8,5,13,9,4,6,7,3,9,7,6,12,7,2
" "," ","25-29 years",1,2,3,2,4,9,7,6,9,3,15,5,5,5,7,7,4,1,4,2,5,1,2,4,5
" "," ","30-34 years",0,5,0,2,1,1,1,1,4,1,2,3,2,2,3,3,3,4,4,3,1,1,1,0,1
" "," ","35-39 years",0,1,0,0,1,1,0,4,1,0,1,3,0,0,4,3,2,2,0,0,1,0,2,4,2
" "," ","40-44 years",0,1,1,0,0,1,0,0,1,2,0,1,3,0,2,2,2,2,0,0,0,0,1,0,2
" "," ","45-49 years",0,0,1,0,0,1,1,3,1,1,1,1,3,0,0,0,1,3,1,4,0,1,1,0,0
" "," ","50-54 years",0,0,1,0,0,1,1,0,1,0,1,0,0,2,2,0,1,0,0,0,2,1,0,2,0
" "," ","55-59 years",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,1,1
" "," ","60-64 years",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
" "," ","65-69 years",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," ","70-74 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
" "," ","75 years and over",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
" ","Chatham Islands Territory","0-4 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
" "," ","5-9 years",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
" "," ","10-14 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," ","15-19 years",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0
" "," ","20-24 years",0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,3,0,0,1,4,0,0,1,1,0
" "," ","25-29 years",0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0
" "," ","30-34 years",0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
" "," ","35-39 years",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
" "," ","40-44 years",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0
" "," ","45-49 years",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
" "," ","50-54 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
" "," ","55-59 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," ","60-64 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," ","65-69 years",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," ","70-74 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," ","75 years and over",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Waitaki District","0-4 years",5,2,2,6,4,5,6,3,8,4,1,5,3,9,5,11,9,5,5,6,10,10,5,7,4
" "," ","5-9 years",2,2,5,3,6,3,4,7,8,5,2,5,3,5,5,7,8,6,5,6,4,5,4,5,4
" "," ","10-14 years",5,2,9,0,5,5,7,6,7,3,0,2,4,3,4,13,6,16,2,6,3,6,8,4,2
" "," ","15-19 years",7,3,7,10,8,13,10,17,12,20,7,11,6,10,8,7,12,6,10,13,11,10,13,5,5
" "," ","20-24 years",26,23,22,24,31,37,37,37,36,45,29,15,30,28,29,23,30,33,22,28,33,21,20,11,18
" "," ","25-29 years",19,23,11,17,15,24,20,31,27,32,21,16,14,23,28,38,31,24,13,15,25,18,18,20,18
" "," ","30-34 years",10,5,8,10,9,11,13,9,10,10,7,11,9,10,14,15,14,3,7,9,6,8,8,10,12
" "," ","35-39 years",4,7,6,9,7,6,9,5,5,7,6,8,2,6,8,11,7,15,5,4,7,7,2,1,1
" "," ","40-44 years",3,4,2,3,6,4,6,5,7,1,4,4,3,5,9,11,8,8,3,7,6,10,6,2,0
" "," ","45-49 years",4,3,1,3,5,1,6,4,6,5,1,4,2,4,6,2,8,8,3,0,4,7,6,3,6
" "," ","50-54 years",1,2,3,1,3,4,4,2,4,2,5,1,4,2,2,5,4,9,2,5,2,9,2,2,4
" "," ","55-59 years",1,1,1,5,2,1,2,0,4,3,1,2,1,3,3,4,3,3,3,3,3,2,3,2,2
" "," ","60-64 years",2,0,1,0,2,1,0,0,2,2,0,0,0,0,0,1,1,1,0,2,4,3,3,0,0
" "," ","65-69 years",0,0,1,2,5,1,1,1,0,0,0,0,0,1,0,1,2,1,0,2,2,1,1,1,1
" "," ","70-74 years",1,0,1,1,1,1,1,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
" "," ","75 years and over",0,0,1,1,0,1,2,1,1,0,1,0,2,1,0,1,1,0,0,0,1,0,0,0,0
" ","Central Otago District","0-4 years",2,7,4,3,4,4,5,8,9,4,2,0,5,3,8,6,4,10,9,7,8,5,3,3,2
" "," ","5-9 years",0,5,3,5,7,1,3,7,4,3,4,2,2,4,3,4,2,5,9,4,8,0,0,2,5
" "," ","10-14 years",3,0,9,1,8,5,3,6,2,5,3,5,0,3,2,4,2,6,2,1,3,4,0,3,4
" "," ","15-19 years",5,7,4,9,7,9,9,9,7,11,7,11,2,10,4,6,7,10,8,3,14,10,9,9,6
" "," ","20-24 years",14,23,20,22,32,23,35,30,52,38,34,22,20,26,31,23,30,37,21,39,39,31,23,23,24
" "," ","25-29 years",9,22,15,14,19,16,20,27,30,26,20,21,14,20,16,25,24,40,23,28,37,29,16,26,21
" "," ","30-34 years",4,12,4,8,7,14,10,14,14,4,6,8,8,8,7,13,6,14,12,12,9,15,7,6,3
" "," ","35-39 years",4,5,3,6,3,6,5,9,3,6,3,8,7,8,4,6,5,12,6,15,11,7,4,6,4
" "," ","40-44 years",2,1,2,3,6,2,5,10,7,2,2,5,4,4,4,6,3,6,7,5,9,5,3,2,4
" "," ","45-49 years",1,3,4,2,4,1,5,5,6,4,4,5,2,4,5,3,5,10,0,6,4,8,4,1,3
" "," ","50-54 years",0,0,1,1,1,3,2,2,6,3,2,2,2,2,1,3,3,8,2,4,7,3,3,3,3
" "," ","55-59 years",0,0,0,2,3,1,0,1,1,2,2,2,1,3,0,2,5,5,3,6,3,6,0,1,4
" "," ","60-64 years",0,0,0,1,1,0,2,1,0,2,0,4,2,1,1,1,0,1,3,5,2,1,0,1,3
" "," ","65-69 years",0,0,1,2,1,1,3,1,2,1,2,1,0,1,2,1,0,0,0,1,1,0,0,1,0
" "," ","70-74 years",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
" "," ","75 years and over",0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,2,0,1,0
" ","Queenstown-Lakes District","0-4 years",4,5,4,9,5,7,8,9,6,6,5,5,3,3,8,10,9,14,8,11,14,11,15,16,13
" "," ","5-9 years",3,4,3,6,5,4,4,4,2,5,4,2,5,2,3,5,6,16,2,11,6,8,10,12,16
" "," ","10-14 years",4,4,3,3,1,1,3,6,0,3,1,1,7,6,8,3,14,2,5,4,7,6,10,5,10
" "," ","15-19 years",6,5,3,8,9,10,10,7,5,11,1,13,6,10,11,12,14,17,16,12,21,21,12,12,15
" "," ","20-24 years",20,18,36,25,40,44,46,42,38,34,30,25,32,41,53,53,74,83,76,77,84,108,79,98,113
" "," ","25-29 years",19,28,24,31,39,49,49,68,67,49,39,41,33,56,62,72,91,124,122,127,149,130,146,136,166
" "," ","30-34 years",13,10,15,18,26,27,26,29,28,35,24,29,16,33,32,35,51,58,62,63,65,53,61,69,77
" "," ","35-39 years",6,7,5,3,9,9,12,16,10,11,11,11,12,18,17,21,17,25,30,24,31,31,31,26,20
" "," ","40-44 years",2,7,4,6,3,8,8,8,11,3,7,7,9,6,13,13,11,9,13,9,25,12,13,15,14
" "," ","45-49 years",1,3,2,6,5,3,8,5,5,2,4,6,5,4,6,12,7,8,5,14,10,16,9,8,10
" "," ","50-54 years",2,0,3,4,1,4,1,4,5,3,6,1,0,5,6,6,5,6,8,14,11,10,5,5,7
" "," ","55-59 years",0,0,0,3,1,0,2,2,1,0,2,3,4,1,1,4,3,6,4,3,5,2,7,10,6
" "," ","60-64 years",1,0,0,1,0,1,1,2,1,0,0,4,2,4,3,1,3,6,3,4,2,1,3,4,4
" "," ","65-69 years",0,2,1,0,0,0,1,3,2,0,0,1,0,1,2,2,0,3,0,2,2,1,3,2,5
" "," ","70-74 years",1,0,0,0,0,0,1,0,1,0,3,1,1,0,1,1,2,3,0,0,0,1,1,2,0
" "," ","75 years and over",0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,3,0
" ","Dunedin City","0-4 years",36,47,43,48,45,63,49,47,40,49,51,36,27,35,44,44,33,48,38,48,27,40,47,34,33
" "," ","5-9 years",25,29,31,34,27,42,51,48,40,41,52,36,17,30,32,35,52,32,27,37,33,34,38,22,26
" "," ","10-14 years",20,42,24,35,29,44,40,36,38,37,28,32,19,32,34,39,34,34,35,27,36,32,26,14,13
" "," ","15-19 years",46,45,29,45,56,50,69,67,73,72,65,57,41,51,64,49,40,71,51,56,66,57,52,27,38
" "," ","20-24 years",163,141,119,187,201,234,242,213,220,215,175,152,159,173,180,170,180,207,158,172,188,208,151,142,139
" "," ","25-29 years",125,120,97,138,142,140,187,221,238,196,197,161,169,174,169,160,162,162,156,175,201,170,139,120,122
" "," ","30-34 years",46,82,57,71,76,98,107,100,93,111,75,71,63,94,79,90,88,77,60,91,107,74,86,71,71
" "," ","35-39 years",49,34,34,45,64,62,76,70,57,68,69,42,37,45,51,59,72,62,37,62,61,49,42,35,39
" "," ","40-44 years",25,27,31,34,29,51,49,52,60,53,43,38,35,34,49,49,53,60,31,41,40,45,39,27,26
" "," ","45-49 years",16,26,19,26,15,32,34,29,44,26,37,40,26,22,42,41,36,35,38,38,39,35,28,21,23
" "," ","50-54 years",12,18,20,9,13,18,24,25,22,38,31,15,20,26,20,28,29,37,16,24,34,29,26,19,14
" "," ","55-59 years",8,13,8,10,11,11,17,9,5,15,19,14,13,9,17,20,18,19,14,23,21,26,20,18,17
" "," ","60-64 years",2,6,7,2,6,3,4,7,10,9,4,6,15,6,10,10,12,12,9,14,11,11,10,6,11
" "," ","65-69 years",1,5,0,4,6,8,6,3,5,7,7,5,6,5,4,3,7,4,7,5,3,5,6,1,9
" "," ","70-74 years",1,5,3,4,2,4,2,0,1,1,3,5,2,2,6,2,1,1,2,0,2,2,0,6,3
" "," ","75 years and over",3,1,4,3,6,5,2,1,4,2,0,4,0,4,2,0,2,3,3,2,3,4,2,0,1
" ","Clutha District","0-4 years",3,2,2,2,2,3,1,1,8,2,5,3,7,1,1,4,3,2,4,1,6,4,5,5,6
" "," ","5-9 years",5,1,2,1,2,2,0,6,3,2,3,2,2,0,6,3,3,3,1,1,3,6,3,1,3
" "," ","10-14 years",1,8,3,0,0,3,2,4,7,1,3,2,0,2,6,2,3,7,3,2,7,3,1,3,1
" "," ","15-19 years",4,4,8,4,5,3,4,3,6,4,6,6,7,12,10,7,7,5,6,2,3,8,1,3,5
" "," ","20-24 years",13,9,18,20,34,24,25,21,25,18,21,12,26,20,18,25,10,23,12,14,16,18,26,9,6
" "," ","25-29 years",8,12,7,7,18,20,19,18,22,21,18,16,13,16,12,12,10,19,7,15,10,18,15,6,10
" "," ","30-34 years",6,7,5,2,5,11,6,11,9,8,6,1,11,1,7,8,7,14,6,3,7,4,3,3,3
" "," ","35-39 years",3,2,3,2,3,3,3,5,5,4,2,2,2,3,2,6,9,5,4,5,6,5,5,2,2
" "," ","40-44 years",1,2,0,1,3,1,3,2,5,6,1,2,3,7,3,4,5,5,3,3,4,2,1,0,2
" "," ","45-49 years",1,1,0,1,3,0,1,4,1,3,5,2,3,3,5,1,4,4,5,0,0,4,2,4,3
" "," ","50-54 years",0,0,1,0,1,3,1,0,1,0,1,2,2,2,2,3,1,3,1,4,3,3,0,1,2
" "," ","55-59 years",0,1,0,1,2,1,0,0,0,0,0,0,1,2,0,0,1,3,1,2,5,3,2,1,1
" "," ","60-64 years",0,2,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,2,0,0,1,2,1,0,0
" "," ","65-69 years",0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,1,0,0,1,2,1,1
